S.No,Review,Rating ,Car
30,                                        As we know honda city has great name in its segment since the first old honda city. But with this one I am very disappointed. I used it for few months. First of all exteriors that front grill looks cheap and fake. this one looks very toyish. In terms of engine mileage is very good with diesel bu...,2,3
31,                                        Hello friends now we will discuss about Honda City.Few months later I have purchased Honda City car from Indore. I am not at all satisfied with this car and its features. I can also say that it's not a comfortable car.The quality of its rear camera is not so good. Its disability is not g...,1,3
32,"                                        This is the witst car I bought it 1.5 years ago. Service centre are total fraud. This car will get kedney sold as per maintenece 1) As per honda service centre you need to your car tires every 30, 000 KMS else they woulf not do wheel balancing andWheel alignment even if there is no need to chang...",1,3
33,                                        This car has a wonderful design. The Excellent design gives a special look to this car. When I ride this car I feel more comfortable while comparing to the similar ones. The accelaration is awesome this car engine got more power. The suspension is also good. The interior features is very cool ! ...,5,3
34,                                        Hello my friends and my dear brothers today I am going to review about the car named Honda City the name of the brand is Honda it is a really great car it is a Sedan car so it looks so amazing but there are many disadvantages of this car that the maximum number of people who can sit in this car ...,2,3
35,                                        Hy my name is azan we also have a honda city v 2017 model they have some good features that we noticed FIRST numbers I notices that thats car have goods safety features like a double air bagsIsofic seat and also Multi show parking camera with gide lines and some others safety features also...,3,3
36,                                        Waited 6 years to replace out old and loyal Santro for and new set of wheels for the family.The Honda City Sv Diesel i-Dtec 1.5 a really nice light and zippy car though not the toughest and agile ones out there.I Generally sit back as my dad is the one to drive when we go out as a family the...,1,3
37,                                        The exterior of this car is better than other cars. Full economy is also good but performance level is high. The interior is very good with back AC grills which gives the leg room luxurious look. Easy access to panels and controls . Soundless engine and Fuel Milage is about 13km to 15km which is...,3,3
38,"                                        Honda City 2017 is a latest model of honda city car, I using this car( Actually this car is not mine but it's my uncle's cars)Hondacity have a large cabin for driver there are sufficient leg space are available for tall person also whose height is above the level of 6 feet, and there are muc...",4,3
39,                                        I purchsed the top model in March 2017 and I can say I am very satisfied with the car comfort driving & safety features. Only one thing I am worried about this car is milleage. In the city they are max 9kmpl in city & 13kmpl in in highway.the quality of rear Camera is very poor visiblity. The le...,3,3
40,                                        This is my review about the well known brand honda city 2017. I felt it is not very comfortable to drive as many users opinion. When we drive about hundred kilometers we feel bad and tired. It is very easy to make our pocket empty when we use thos car especially when our driving is very fast. We...,1,3
41,                                        Hi friends.I used this car I loved it because of the comfort or smoothness to drive . It's number 1 for me . In all the honda's cars smooth gare too good for drive a long comfortable sits !Honda city 2017 car the sitting is too comfortable and the space is also good .It is a luxuriou...,3,3
42,                                        HONDA CITY-The most beautiful and reliable car. It has a little that KING OF ROADS.I was using this Honda city car for past 4 months.The SUCCESS factor for this amazing car are:1.MILLAGE: I have driven this car in city and highways. It gives good millage.2.COMFORT:It is a luxurio...,5,3
43,"                                        I used this car I loved it because of the comfort or smoothness to drive.it's number 1 for me.in all the honda's cars. Smooth gare, too good for drive a long comfortable sits.i really recomded to others. its best in my cars ever. I used the car ever. Honda city 2017 is best ever my dreams car th...",5,3
44,                                        This car is a Drive through Heaven. It is a amazing car and top in market according me. The Factors for it's success are:-LEG ROOM: It has Abundant of leg room and it will not at all any problem for a fator tall person. Any one can sit like VIP & a great space.DEALER SATISFACTION: Th...,5,3
45,                                        HONDA CITY-The most beautiful and reliable car.It has a title that KING OF ROADS.I was using this Honda city car for past 3 months.The SUCCESS factors for this amazing car are:1.MILLAGE: I have driven this car in city and highways.It gives good millage.2.COMFORT:It is a luxurious...,5,3
46,"                                        Hello everyone, i am santosh, i am going to review about my sweet and dream car HONDA CITY 2017.I am interested to buy this car cause it gives us several facilities like high comfort, power switch engine start, high class leg room.its millage isn't lower than 15 kilometer per liter.I have chosen...",5,3
47,                                        Hi friends.Now I am going to share my review on Honda City 2017 car.My father buy this car from 10 months ago from Honda City showroom.Many time I also drive this car and I found the money complexities in this car which written following.First the mileage of this car is very less...,1,3
48,                                        Hi today I am talking about the car Honda city. I purchased this car in Delhi I am very happy because this car features are very good in hearing my years but when I used this car I realise the truth of this car Honda City.leg room of  car this car not good for comfortablity. When I went to A...,1,3
49,                                        I worked on Honda 2017 it a low mentenence car some time its engine cover of under got stuck on road and I faced many times this broblem. Overall car mentenence in good and it's good to drive. Efficiency is good of engine and the shape of car is better than the old and even The cabin bigger. Tha...,3,3
50,                                        Honda city is always been a class since it is launched. I owned the very first model of honda city and again want to buy its new model which never disappointed me. That gives a rich and royal look. The 1498 cc engine is very efficiently powerful on roads. Petrol version gives 15.5 kmpl easily if...,4,3
51,                                        For past four months I was using this Honda city car.It is a drive through heaven. It is asthetic car and top sedan in market.The factors for its success are:1.LEG ROOM: it has an ample of leg room and it will be not at all a problem for a tall or fat person. Any one can sit like a V...,3,3
52,                                        It is a drive through heaven. It is an amazing car and top sedan in market. The factor for its success are: -1.LEG ROOM: - It has an ample of leg room and it will be not at all a problem for a tall or fat person.Any one can sit like a vip in car and it has a great space back and front seat....,5,3
53,                                        I like this car but it has some bad things also . Its is good car in speed millage and in tyres . Its navigation system is not working properly . Its Bluetooth does not connect in the first attempt . Its Bluetooth does not connect while a.c.is on. Its camera does not work properly at night I can...,3,3
54,                                        Honda City - The Most beautiful and reliable car honda ever made . The New model is quite awesome . it is the car that got the title of King of the road From Pakwheels.com which is such an honor . Alright so we have some new features and slight improvements in Honda city 2017. if u look at its f...,4,3
55,"                                        City is the most popular car in this segment, 2017 model honda city has a very agreesive look, it comes with many colour varients, I prefer metallic grey color, if we talk about its design, I can confidently say that you will definitely like it, its front grill , sharp ending .all are fabulous, ...",3,3
56,"                                        I had once experienced travelling in Honda City long ago and I must say it was one of my wonderful experiences I had. I had visited Mumbai for some work and gone on to meet one of my friends who stays.As I was very new to the city, it was so sweet of my friends that he drove me in his Honda ...",4,3
57,"                                        This car is another good or I may say the best car from honda till date in this price tag .it has a lot of luggage space with comfortable leg room in it.and yes dealers are also good, but it suggest test drive before spending the bunch on it.the mileage is also good varies from highway to traffi...",3,3
58,"                                        Honda is a well known car manufacturer in the world and have a good faith in its consumer too. Honda City 2017 VX Petrol is one of its high selling car.It has an ample specious leg room, where three matured person can sit easily without any trouble and even they can go for a long tour by enj...",3,3
59,"                                        I have Honda city Type 1. I personally love this car. It has a luxurious feeling. It has a good leg room as it is a spacious car. It has a good mileage of 15km/litre. As it is a spacious car, it has a great comfort. 6 people can sit easily. You can rely on this car as it doesn't need any special...",5,3
60,                                        Its a car which many person was waiting for feel new life with vx technology car beacause of his many type facility like first is his high space & royal look leg room 5 person can be sit in the car with fluently because of height around 1495 m for short & long height peopleEveryone know the ...,4,3
61,                                        It is an complete family sedan it looks very nice.i would advise to buy or take a test drive once.its very spacious and givesgreat comfort.its digi pad give car an expansive look and sunroof looks very much attractive and the ac works very well and most importantly the engine does not make a...,4,3
62,"                                        The honda city has a plenty of leg room both in the front and back, which makes it very comfortable to sit even for people over 6 feet.the car has a 1.5 litre engine which gives a power of 119 bhp.which is just amazingit is one of the most efficient petrol engines in the segment.the ...",5,3
63,"                                        First thing about honda city is its amazing looks and luxurious interiors.its a very spacious and comfortable car.powerful car with best mileage in its league. even its service cost is not that high.its a value for money car.its suspension is very heavy, if u sit in this car you ...",3,3
64,                                        Honda City is one of the top car in Indian Car. Engine and Suspension of the car is quite well. Mileage is also very good. It is impressive and Uber fuel efficient engine. On Highway this car is superb and also very effective because of its high power engine and Good Mileage.You can buy this...,5,3
65,"                                        Honda city was a good car .This is honda Best Car in India.While Driving on a Long Route this car gives you more comfort than other cars.it has a body like a sedan, consist of 1.5LiDTEC Engine, transmission was manual, no. of gears are 6, mileage have about23-25 kmpl, fuel tank capacity of 40L, ...",5,3
66,"                                        It is dream car for the middle class family.it is very comfortable.Recently I got a chance to drive Honda City and as I am planning to buy a car in this segment, it was of great help. There were some good points about the car but the negatives were also quite visible.Honda City has got decen...",5,3
67,"                                        Honda city got decent and classy looks with good space inside.The interiors are also one of the best in the segment to go for and live with.This car is very comfortable and the features such as adjustable driver seat, telt steering and left hand rest make it a pleasure to drive.The pick up is ve...",4,3
68,                                        1996 was the year when HONDA introduced City to indian customers. From then it remains the most loved car from HONDA. It was loved by us and still in 2017 it's the most recongnized one! In 2017 the Honda City has been revamed to match the rivals. Let's see how it stack against the competion....,4,3
69,"                                        We have The all new Honda City 2017. This is the best of all we have got. Its design and interior are awesome.Has many latest features and updated everything new.I can say it is coolest car of the year.only thing I dislike about it is It's fuel economy, it sucks but It has very low noise and smo...",4,3
70,                                        I am using this car. I have taken 2014 april. Very nice car.  . Interior. Superb. Milage is. Very good. My car giving. 22 milage. Ac also very. Good. Short time get cool.  Safety features. Vey nice. Abs.  Air bags. Tubeless tyres . Space is very nice. Compare to other cars.  Sterio is very. Good...,3,3
71,"                                        Guys the city is most successful car in india. Now it has its forth generation with the added equipment it regain its top spot in terms of c segment sedan sales. Now the change r large cosmetic, the bumper give the car sporty appeal, new design diomand cut 16 inch alloy wheel, with 7 inch touch ...",3,3
72,"                                        The all new Honda city petrol, the queen of this segment is proven the fact that it is the best looking car in this sedan segment. In interior it lack some amount of features like the vanity mirror doesn't have illuminated light. But overall the interior is pretty good. It also has got an enormo...",4,3
73,                                        This is a amazing car for city commuting if you want to buy a car and be at ease without beign worried about the parts and service this is the car to buy. This car looks amazing in terms if looks and the car is loaded with very good and useful features. The interior if the car is very good the s...,4,3
74,                                        This is one of the best car.It is my favorite car.Come on friends look that Don't miss it.So take it and enjoy with me. Actually iska mileage bahut acchi hai speed is too good and front show is too beautiful isliye Mujhe pasand hai uske andar ke seat bahut comfortable so this is my favourite...,5,3
75,"                                        Honda city car is a superb car I have ever seen before.honda city car is outstanding car and better than other cars.in honda city chocolate colour, white colour, blue colour, brown colours are given.Honda city car has 6 gears .in the honda city car massive speakers are given .Superb tyre...",5,3
76,                                        I like this car font and back elevation have attractive lights Honda city diesel is very economical it gives mileage of 25km/l which is certified by ARAI and it has 99bhp(BRAKING HOUSE POWER) and 200NM(NEWTON METER) torque which helps to attain a top speed of 160-170 around it has trailer indivi...,3,3
77,"                                        The Honda cars are the best cars they have very good performance and good condition. The new model of Honda City is the most beautiful. That car has many new things like Automatic, Led, new shape etc.Good mileage and comfortable.I really like this car. This has easy and comfortable seats...",3,3
78,"                                        Exterior - Looks are great!Interior ( Features, Space & Comfort) - Very low quality plastic used everywhere, Dashboard, mirros and everythnig makes unwanted noises. Parts start falling apart even small impacts.Engine Performance, Fuel Economy and Gearbox - Very bad, Pick up in Auto versi...",1,3
79,                                        The 2017 Honda City Car Was Launched In 31 January 2009 by Honda Car Pakistan. The Honda City Car 5th Generation Is a Front Engine front Wheel Drive Subcompact Sudden with Biriliants Features and Smoothly for running On The Road. The Honda City Car 2017 featured a brand new car models and more a...,3,3
